Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.5754E-17,2.7645E-18,0.18823,0,0,0,14.551,0.11382,-6.6486E-19,1.2633E-18,0.13952,-1.9613E-19,0.14176,0,0,0,0,0,0,package://ARM-GR-0/meshes/base_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/base_link.STL,,底板-1;铝合金架子-1;转接板-5-2;转接板-5-1,坐标系17,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left-link_arm_base,-2.956E-05,2.828E-07,0.021203,0,0,0,1.6812,0.001511,-3.7785E-08,-2.2617E-06,0.0015126,-2.0148E-08,0.0015409,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_base.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J1-01-1;ARM-GR-LEFT-00-1/LEFT-ARM-1/PH17-1-1,坐标系22,基准轴1,left-joint_arm_base,fixed,0,0.117,0.283,-1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
left-link_arm_1,-0.0011699,1.3207E-07,0.043882,0,0,0,0.53418,0.00094394,5.097E-09,-6.9484E-05,0.0019256,4.5884E-09,0.0016239,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_1.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J1-02-1,坐标系1,基准轴1,left-joint_arm_1,revolute,0,0,0.048,0,0,0,left-link_arm_base,0,0,1,100,1,-3.14,3.14,,,,,,,,
left-link_arm_2,1.4936E-07,0.055317,0.00024968,0,0,0,1.2991,0.0052388,-4.4739E-09,-2.5077E-10,0.001368,1.1355E-08,0.0051498,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_2.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J2-01-1,坐标系2,基准轴2,left-joint_arm_2,revolute,0,0,0.077,1.5708,0,-1.5708,left-link_arm_1,0,0,1,100,1,-1.91,1.91,,,,,,,,
left-link_arm_3,-0.028391,5.9153E-07,0.07263,0,0,0,0.65629,0.0021459,9.3126E-09,0.00070546,0.0024303,-1.6816E-09,0.000793,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_3.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J3-02-1,坐标系3,基准轴3,left-joint_arm_3,revolute,0,0.166,0.00025012,0.44871,1.5708,2.0195,left-link_arm_2,0,0,1,100,1,-3.14,3.14,,,,,,,,
left-link_arm_4,3.8823E-07,0.035384,-0.0029086,0,0,0,0.77877,0.0021294,2.4752E-08,1.1284E-08,0.00065445,-7.9354E-05,0.0020291,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_4.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J4-02-1,坐标系4,基准轴4,left-joint_arm_4,revolute,0,0,0.1615,1.5709,0,-1.5708,left-link_arm_3,0,0,1,100,1,-2.61,2.61,,,,,,,,
left-link_arm_5,0.000345899709976554,2.97407315025255E-06,0.0487308986614717,0,0,0,0.37078423554939,0.000469205666087879,8.78737453167827E-09,-7.0507689643435E-06,0.000742515498050194,-9.19460562635668E-09,0.000502049590499758,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_5.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J5-02-1,坐标系5,基准轴5,left-joint_arm_5,revolute,0,0.135,1.0218E-05,-1.5708,1.5708,0,left-link_arm_4,0,0,1,100,1,-3.14,3.14,,,,,,,,
left-link_arm_6,-7.0388E-06,0.028,1.0403E-05,0,0,0,0.59195,0.00088918,9.6939E-08,-7.5246E-10,0.00053422,1.5048E-08,0.00088918,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_6.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J7-03left-1,坐标系6,基准轴6,left-joint_arm_6,revolute,0,0,0.105,1.5708,0.00018358,-1.5708,left-link_arm_5,0,0,1,100,1,-1.51,1.51,,,,,,,,
left-link_arm_7,0.026806,5.5364E-06,0.003448,0,0,0,0.16706,0.00037043,-1.8392E-08,1.4512E-05,0.00043484,1.7379E-09,0.00016897,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_arm_7.STL,,ARM-GR-LEFT-00-1/LEFT-ARM-1/J7-04-1,坐标系7,基准轴7,left-joint_arm_7,revolute,0,0.056001,0,1.5708,0.00012794,1.571,left-link_arm_6,0,0,1,100,1,-1.51,1.51,,,,,,,,
left-link_gripper_base,-2.0646E-06,-0.00034834,0.045721,0,0,0,0.57392,0.00053521,1.5106E-07,7.7663E-08,0.00080086,-7.8658E-06,0.00081476,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_gripper_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ARM-GR-0/meshes/left-link_gripper_base.STL,,ARM-GR-LEFT-00-1/GR2A-03-0-1/G-01-1,坐标系8,基准轴8,left-joint_gripper_base,fixed,0.061,0,-4.2996E-05,-1.5708,0,-1.5707,left-link_arm_7,0,0,0,,,,,,,,,,,,
